broadcast_player_0 <-> tacticam_player_7 | similarity: 0.879
broadcast_player_1 <-> tacticam_player_4 | similarity: 0.845
broadcast_player_2 <-> tacticam_player_3 | similarity: 0.757
broadcast_player_3 <-> tacticam_player_1 | similarity: 0.905
broadcast_player_4 <-> tacticam_player_5 | similarity: 0.784
broadcast_player_5 <-> tacticam_player_11 | similarity: 0.817
broadcast_player_6 <-> tacticam_player_6 | similarity: 0.804
broadcast_player_7 <-> tacticam_player_2 | similarity: 0.82
broadcast_player_8 <-> tacticam_player_8 | similarity: 0.841
