broadcast_player_0 <-> tacticam_player_0 | similarity: 0.983
broadcast_player_1 <-> tacticam_player_12 | similarity: 0.998
broadcast_player_2 <-> tacticam_player_5 | similarity: 1.0
broadcast_player_3 <-> tacticam_player_3 | similarity: 0.999
broadcast_player_4 <-> tacticam_player_4 | similarity: 0.999
broadcast_player_5 <-> tacticam_player_9 | similarity: 1.0
broadcast_player_6 <-> tacticam_player_11 | similarity: 1.0
broadcast_player_7 <-> tacticam_player_6 | similarity: 1.0
broadcast_player_8 <-> tacticam_player_10 | similarity: 0.994
