broadcast_player_0 <-> tacticam_player_6 | similarity: 0.87
broadcast_player_1 <-> tacticam_player_0 | similarity: 0.8
broadcast_player_2 <-> tacticam_player_4 | similarity: 0.889
broadcast_player_3 <-> tacticam_player_1 | similarity: 0.877
broadcast_player_4 <-> tacticam_player_9 | similarity: 0.872
broadcast_player_5 <-> tacticam_player_5 | similarity: 0.796
broadcast_player_6 <-> tacticam_player_12 | similarity: 0.816
broadcast_player_7 <-> tacticam_player_11 | similarity: 0.848
broadcast_player_8 <-> tacticam_player_2 | similarity: 0.827
